dialogID,ppl,position,type,model
21,3.22263130763324,10,compressed,LSTM
21,3.75972593651771,11,compressed,LSTM
21,4.71090103983278,12,compressed,LSTM
21,4.06850305554508,13,compressed,LSTM
21,4.06167218901271,14,compressed,LSTM
21,3.41252795022893,15,compressed,LSTM
21,3.4804318524092,16,compressed,LSTM
21,3.50337183561321,17,compressed,LSTM
21,5.23431510505245,18,compressed,LSTM
21,3.90971870264755,19,compressed,LSTM
21,5.06019914841947,20,compressed,LSTM
22,9.5410432669987,0,compressed,LSTM
22,19.1992401136445,1,compressed,LSTM
22,8.63490320485821,2,compressed,LSTM
22,6.22050403381463,3,compressed,LSTM
22,4.43636144915756,4,compressed,LSTM
22,5.73841388831771,5,compressed,LSTM
22,8.97838414860989,6,compressed,LSTM
22,3.05513139147455,7,compressed,LSTM
22,4.06001659995232,8,compressed,LSTM
22,12.5030349727632,9,compressed,LSTM
22,4.23247602458493,10,compressed,LSTM
22,4.12862060988629,11,compressed,LSTM
23,3.41835103837598,0,compressed,LSTM
23,4.17305885927765,1,compressed,LSTM
23,3.69095266558267,2,compressed,LSTM
23,3.72572640480141,3,compressed,LSTM
23,2.7834291289325,4,compressed,LSTM
23,3.52447935003012,5,compressed,LSTM
23,4.66151274675615,6,compressed,LSTM
24,6.76206257462916,0,compressed,LSTM
24,4.67676983327395,1,compressed,LSTM
24,6.1581788385163,2,compressed,LSTM
24,4.776559817381,3,compressed,LSTM
24,5.84130835637464,4,compressed,LSTM
24,4.54055497095363,5,compressed,LSTM
24,4.71323050097244,6,compressed,LSTM
24,6.70584232682257,7,compressed,LSTM
24,4.31286154321859,8,compressed,LSTM
24,5.84622378584359,9,compressed,LSTM
25,4.61289023017391,0,compressed,LSTM
25,3.48407076511018,1,compressed,LSTM
25,3.44278726567549,2,compressed,LSTM
25,3.37108776672382,3,compressed,LSTM
25,2.90259326735061,4,compressed,LSTM
25,5.14886991189039,5,compressed,LSTM
25,4.13158502877529,6,compressed,LSTM
25,4.19678160254306,7,compressed,LSTM
25,3.47019103993162,8,compressed,LSTM
25,4.06468641540618,9,compressed,LSTM
25,5.71202305495632,10,compressed,LSTM
26,5.22841434442835,0,compressed,LSTM
26,4.76063553024093,1,compressed,LSTM
26,6.33565041844594,2,compressed,LSTM
26,4.4692016342872,3,compressed,LSTM
26,6.12639553608582,4,compressed,LSTM
26,4.84784022733776,5,compressed,LSTM
27,3.95011842962081,0,compressed,LSTM
27,3.68620860185107,1,compressed,LSTM
27,2.2076969502493,2,compressed,LSTM
27,2.07265685930849,3,compressed,LSTM
27,2.89627946854108,4,compressed,LSTM
